signal_id,market_id,event_slug,market_question,signal_time_utc,signal_type,price_t0,price_t1,best_bid_t0,best_bid_t1,best_ask_t0,best_ask_t1,snapshot_1h_done,snapshot_24h_done,best_ask_1h,best_ask_24h,best_bid_1h,best_bid_24h,yes_price_1h,yes_price_24h
4b4b97b4-572c-442b-8a42-1d6393927d49,1065916,will-israel-strike-lebanon-on-928,"Will Israel strike Lebanon on January 26, 2026?",2026-01-21 18:15:37+00:00,outcome_1,0.43,0.505,0.01,0.36,0.85,0.65,True,True,0.64,0.57,0.36,0.4,0.5,0.485
c68d3623-b006-477f-a1df-812ddc9214b7,1065917,will-israel-strike-lebanon-on-928,"Will Israel strike Lebanon on January 27, 2026?",2026-01-21 18:15:37+00:00,outcome_1,0.425,0.51,0.01,0.38,0.84,0.64,True,True,0.64,0.48,0.36,0.36,0.5,0.42
66f9f5d0-65eb-437c-a9c1-1ffd4dafa173,1065918,will-israel-strike-lebanon-on-928,"Will Israel strike Lebanon on January 28, 2026?",2026-01-21 18:15:37+00:00,outcome_1,0.425,0.505,0.01,0.36,0.84,0.65,True,True,0.65,0.58,0.36,0.35,0.505,0.465
a226f061-d584-4f04-a427-2d935a7dec73,1065919,will-israel-strike-lebanon-on-928,"Will Israel strike Lebanon on January 29, 2026?",2026-01-21 18:15:37+00:00,outcome_1,0.425,0.505,0.01,0.36,0.84,0.65,True,True,0.64,0.58,0.36,0.45,0.5,0.515
48b4822c-d9b8-436e-a676-05625d4db963,1065920,will-israel-strike-lebanon-on-928,"Will Israel strike Lebanon on January 30, 2026?",2026-01-21 18:15:37+00:00,outcome_1,0.425,0.505,0.01,0.36,0.84,0.65,True,True,0.65,0.6,0.36,0.4,0.505,0.5
7073bc08-5123-498e-8c67-74c1fb40c2ae,1065921,will-israel-strike-lebanon-on-928,"Will Israel strike Lebanon on January 31, 2026?",2026-01-21 18:15:37+00:00,outcome_1,0.425,0.5,0.01,0.36,0.84,0.64,True,True,0.64,0.6,0.36,0.4,0.5,0.5
1fb02e0b-b4ad-48ee-9145-6f501272e46a,1065988,will-israel-strike-gaza-on-358,"Will Israel strike Gaza on January 27, 2026?",2026-01-21 18:15:37+00:00,outcome_1,0.545,0.5,0.11,0.36,0.98,0.64,True,True,0.64,0.4,0.36,0.3,0.5,0.35
af49ee14-72e6-4737-9f76-e3ee98ce6884,1065989,will-israel-strike-gaza-on-358,"Will Israel strike Gaza on January 28, 2026?",2026-01-21 18:15:37+00:00,outcome_1,0.545,0.5,0.11,0.36,0.98,0.64,True,True,0.64,0.51,0.36,0.37,0.5,0.44
bfefe652-c618-4320-b862-788a7bc72a48,1065990,will-israel-strike-gaza-on-358,"Will Israel strike Gaza on January 29, 2026?",2026-01-21 18:15:37+00:00,outcome_1,0.545,0.5,0.11,0.36,0.98,0.64,True,True,0.64,0.56,0.36,0.37,0.5,0.465
49a8f964-5900-4e3c-bd73-a915ae8b1777,1065991,will-israel-strike-gaza-on-358,"Will Israel strike Gaza on January 30, 2026?",2026-01-21 18:15:37+00:00,outcome_1,0.545,0.5,0.11,0.36,0.98,0.64,True,True,0.64,0.58,0.36,0.35,0.5,0.465
1b3d40b2-310d-4808-ac2f-8202b4832a1a,1065992,will-israel-strike-gaza-on-358,"Will Israel strike Gaza on January 31, 2026?",2026-01-21 18:15:37+00:00,outcome_1,0.545,0.5,0.11,0.36,0.98,0.64,True,True,0.64,0.57,0.36,0.35,0.5,0.46
05036b4b-fd11-4edd-b8a3-293965aab702,1082793,what-price-will-bitcoin-hit-in-january-2026,"Will Bitcoin dip to $85,000 in January?",2026-01-21 18:15:37+00:00,outcome_1,0.31,0.515,0.3,0.51,0.32,0.52,True,True,0.46,0.28,0.44,0.27,0.45,0.275
0f16b811-4a48-4aef-bf66-ba906378ddc3,1082797,what-price-will-ethereum-hit-in-january-2026,"Will Ethereum dip to $2,800 in January?",2026-01-21 18:15:37+00:00,outcome_1,0.44,0.645,0.43,0.64,0.45,0.65,True,True,0.6,0.45,0.59,0.44,0.595,0.445
0b5d758e-8b62-43bd-9ac8-120dce71bc47,1217482,what-price-will-bitcoin-hit-january-19-25,"Will Bitcoin dip to $86,000 January 19-25?",2026-01-21 18:15:37+00:00,outcome_1,0.26,0.545,0.25,0.53,0.27,0.56,True,True,0.46,0.17,0.43,0.15,0.445,0.16
e6d28e2f-e66a-4285-9721-67bd1e1619eb,1236230,us-strikes-iran-by,"US strikes Iran by January 26, 2026?",2026-01-21 19:48:12+00:00,outcome_1,0.515,0.17,0.06,0.06,0.97,0.28,True,True,0.12,0.13,0.09,0.12,0.105,0.125
2891cb54-9ea8-43b1-8efb-ad432ca154bf,1032304,si-hit-jan-2026,Will Silver (SI) hit (HIGH) $100 by end of January?,2026-01-21 19:48:12+00:00,outcome_1,0.461,0.3555,0.443,0.243,0.479,0.468,True,True,0.429,0.565,0.325,0.534,0.377,0.5495
5909aa0d-f2ac-4b2f-8c78-bafe1a3fd983,1082795,what-price-will-xrp-hit-in-january-2026,Will XRP dip to $1.80 in January?,2026-01-21 19:48:12+00:00,outcome_1,0.57,0.325,0.56,0.31,0.58,0.34,True,True,0.34,0.44,0.31,0.41,0.325,0.425
e2f8b6b0-9d6f-4424-88fc-759500ceeaf3,1082797,what-price-will-ethereum-hit-in-january-2026,"Will Ethereum dip to $2,800 in January?",2026-01-21 19:48:12+00:00,outcome_1,0.595,0.325,0.59,0.32,0.6,0.33,True,True,0.37,0.47,0.35,0.45,0.36,0.46
9579de8a-858f-40af-8bd9-f332f7c43319,1192702,bitcoin-above-on-january-22,"Will the price of Bitcoin be above $88,000 on January 22?",2026-01-21 19:48:12+00:00,outcome_1,0.617,0.8875,0.609,0.875,0.625,0.9,True,True,0.91,1.0,0.893,0.999,0.9015,1.0
622823a2-8458-4cd7-91d7-75ef98d5e860,1192705,bitcoin-above-on-january-22,"Will the price of Bitcoin be above $90,000 on January 22?",2026-01-21 19:48:12+00:00,outcome_1,0.21,0.56,0.2,0.55,0.22,0.57,True,True,0.55,0.001,0.53,,0.54,0.0
c64b3ac2-758c-4389-8353-11eed3206311,1217482,what-price-will-bitcoin-hit-january-19-25,"Will Bitcoin dip to $86,000 January 19-25?",2026-01-21 19:48:12+00:00,outcome_1,0.445,0.22,0.43,0.21,0.46,0.23,True,True,0.21,0.15,0.19,0.14,0.2,0.145
8d6998f5-7f41-422c-9121-76dc8135c1c9,1236531,seeker-fdv-above-one-day-after-launch,Seeker FDV above $150M one day after launch?,2026-01-21 22:15:24+00:00,outcome_1,0.53,0.56,0.16,0.38,0.9,0.74,True,True,0.92,0.001,0.91,,0.915,0.0
fbd9b9ff-5140-46c0-8d4d-8bd29a77b729,1065983,will-israel-strike-gaza-on-358,"Will Israel strike Gaza on January 22, 2026?",2026-01-21 22:47:01+00:00,outcome_1,0.425,0.82,0.37,0.77,0.48,0.87,True,True,0.62,0.041,0.61,0.011,0.615,0.026
0d16b75f-97ff-4eb4-bc8e-b84be2e33f70,1236531,seeker-fdv-above-one-day-after-launch,Seeker FDV above $150M one day after launch?,2026-01-21 22:47:01+00:00,outcome_1,0.56,0.83,0.38,0.75,0.74,0.91,True,True,0.94,0.001,0.91,,0.925,0.0
9f95eff3-65d6-4cf4-85ce-0e46906bde89,1236531,seeker-fdv-above-one-day-after-launch,Seeker FDV above $150M one day after launch?,2026-01-22 01:25:49+00:00,outcome_1,0.93,0.0045,0.91,,0.95,0.009,True,True,0.001,0.001,,,0.0,0.0
e4458eba-7ec7-488f-afc2-744c0d18f409,1065983,will-israel-strike-gaza-on-358,"Will Israel strike Gaza on January 22, 2026?",2026-01-22 06:20:55+00:00,outcome_1,0.57,0.37,0.52,0.2,0.62,0.54,True,True,0.49,0.026,0.33,0.02,0.41,0.023
fa293c8a-4646-4eb5-a612-e30621c49a2c,663472,will-trump-meet-with-putin-again-by,"Will Trump meet with Putin by March 31, 2026?",2026-01-22 11:33:06+00:00,outcome_1,0.175,0.645,0.16,0.5,0.19,0.79,True,True,0.27,0.26,0.24,0.24,0.255,0.25
9f3359f8-e78e-43f8-a754-c10585ae48bb,920347,who-will-trump-meet-with-in-january,Will Trump meet with Vladimir Putin in January 2026?,2026-01-22 11:33:06+00:00,outcome_1,0.0325,0.1505,0.03,0.051,0.035,0.25,True,True,0.078,0.037,0.071,0.03,0.0745,0.0335
3e050546-85e4-492f-b52b-cdaf193ed877,663472,will-trump-meet-with-putin-again-by,"Will Trump meet with Putin by March 31, 2026?",2026-01-22 11:49:42+00:00,outcome_1,0.645,0.25,0.5,0.24,0.79,0.26,True,True,0.27,0.26,0.24,0.24,0.255,0.25
cdf4e1e8-3cc9-42fe-907d-1f2391f8e987,690701,sentient-fdv-above-one-day-after-launch,Sentient FDV above $600M one day after launch?,2026-01-22 12:37:55+00:00,outcome_1,0.595,0.865,0.58,0.85,0.61,0.88,True,True,0.81,0.994,0.76,0.981,0.785,0.9875
a1093be8-3372-435b-8adc-eecafe20372e,690702,sentient-fdv-above-one-day-after-launch,Sentient FDV above $800M one day after launch?,2026-01-22 12:37:55+00:00,outcome_1,0.31,0.505,0.3,0.42,0.32,0.59,True,True,0.42,0.77,0.39,0.71,0.405,0.74
2bd6deaf-8284-498e-9bb4-154dce7c673d,1192651,ethereum-above-on-january-22,"Will the price of Ethereum be above $3,000 on January 22?",2026-01-22 14:04:37+00:00,outcome_1,0.5285,0.231,0.51,0.212,0.547,0.25,True,True,0.033,0.001,0.021,,0.027,0.0
bdb902dd-33aa-424d-a4c5-b1b2539b50e0,1192705,bitcoin-above-on-january-22,"Will the price of Bitcoin be above $90,000 on January 22?",2026-01-22 14:04:37+00:00,outcome_1,0.615,0.33,0.61,0.32,0.62,0.34,True,True,0.06,0.001,0.05,,0.055,0.0
bf351908-6dcd-41db-8714-b0e8579a9fa0,1192705,bitcoin-above-on-january-22,"Will the price of Bitcoin be above $90,000 on January 22?",2026-01-22 15:03:57+00:00,outcome_1,0.355,0.145,0.35,0.14,0.36,0.15,True,True,0.009,0.001,0.004,,0.0065,0.0
42453ee9-ddd9-4e87-b95d-916697506f7c,1065983,will-israel-strike-gaza-on-358,"Will Israel strike Gaza on January 22, 2026?",2026-01-22 16:02:42+00:00,outcome_1,0.095,0.24,0.08,0.13,0.11,0.35,True,True,0.78,0.011,0.5,0.007,0.64,0.009
9c2fe21b-0022-49c9-8d06-857d7d58d190,1065983,will-israel-strike-gaza-on-358,"Will Israel strike Gaza on January 22, 2026?",2026-01-22 16:48:49+00:00,outcome_1,0.24,0.11,0.13,0.1,0.35,0.12,True,True,0.34,0.009,0.28,0.007,0.31,0.008
88192d0a-14f1-49ed-b9cb-bd3c0139bf10,613851,oscars-2026-best-picture-winner,Will F1 win Best Picture at the 98th Academy Awards?,2026-01-22 17:17:03+00:00,outcome_1,0.145,0.0365,,0.005,0.29,0.068,True,True,0.005,0.004,0.004,0.002,0.0045,0.003
d1f0138d-5d46-4a2b-88f1-f8ff8af0203c,613853,oscars-2026-best-picture-winner,Will Train Dreams win Best Picture at the 98th Academy Awards?,2026-01-22 17:17:03+00:00,outcome_1,0.15,0.035,,0.02,0.3,0.05,True,True,0.056,0.006,0.01,0.005,0.033,0.0055
10fc6ac5-8f4b-485f-bfe5-b68de386c829,690703,sentient-fdv-above-one-day-after-launch,Sentient FDV above $1B one day after launch?,2026-01-22 17:17:03+00:00,outcome_1,0.16,0.385,0.14,0.38,0.18,0.39,True,True,0.44,0.15,0.4,0.09,0.42,0.12
6abdeab8-615b-4713-988b-2ec6e0d25593,690702,sentient-fdv-above-one-day-after-launch,Sentient FDV above $800M one day after launch?,2026-01-22 17:17:03+00:00,outcome_1,0.5,0.77,0.49,0.71,0.51,0.83,True,True,0.86,0.97,0.83,0.963,0.845,0.9665
96b6865b-a885-4075-9881-1115d9262a12,1065983,will-israel-strike-gaza-on-358,"Will Israel strike Gaza on January 22, 2026?",2026-01-22 17:17:03+00:00,outcome_1,0.11,0.64,0.1,0.5,0.12,0.78,True,True,0.2,0.008,0.15,0.004,0.175,0.006
933391e4-947e-41f3-ae30-b240b8e8696b,920355,who-will-trump-meet-with-in-january,Will Trump meet with Giorgia Meloni in January 2026?,2026-01-22 17:47:37+00:00,outcome_1,0.146,0.356,0.106,0.141,0.186,0.571,True,True,0.182,0.068,0.086,0.047,0.134,0.0575
fd7d7fbd-2554-46ec-aff9-08f7dd6549b4,1065983,will-israel-strike-gaza-on-358,"Will Israel strike Gaza on January 22, 2026?",2026-01-22 17:47:37+00:00,outcome_1,0.64,0.365,0.5,0.25,0.78,0.48,True,True,0.54,0.032,0.22,0.009,0.38,0.0205
adb4ab6f-123e-4074-8365-37d5fcf30885,920355,who-will-trump-meet-with-in-january,Will Trump meet with Giorgia Meloni in January 2026?,2026-01-22 18:00:37+00:00,outcome_1,0.356,0.155,0.141,0.124,0.571,0.186,True,True,0.182,0.063,0.086,0.047,0.134,0.055
bac17643-fc99-4a2d-bebb-371b0cc0d985,1065983,will-israel-strike-gaza-on-358,"Will Israel strike Gaza on January 22, 2026?",2026-01-22 19:02:28+00:00,outcome_1,0.175,0.38,0.15,0.22,0.2,0.54,True,True,0.14,0.062,0.09,0.009,0.115,0.0355
40c1b414-e998-475e-a588-830448347e7d,1065983,will-israel-strike-gaza-on-358,"Will Israel strike Gaza on January 22, 2026?",2026-01-22 19:33:49+00:00,outcome_1,0.38,0.18,0.22,0.16,0.54,0.2,True,True,0.18,0.056,0.13,0.011,0.155,0.0335
e6a99817-96c5-472a-8dea-09989fdb81f1,1199783,next-country-us-strikes-918,Will the US strike Syria next?,2026-01-22 21:57:36+00:00,outcome_1,0.1075,0.2705,0.097,0.155,0.118,0.386,True,True,0.206,0.001,0.189,,0.1975,0.0005
742f5535-ca54-42b6-a595-63e0d67715cb,1243277,ukraine-officially-agrees-to-a-us-backed-ceasefire-framework-in-2025,Ukraine officially agrees to a US backed ceasefire framework by February 28?,2026-01-22 23:35:21+00:00,outcome_1,0.565,0.22,0.24,0.19,0.89,0.25,True,True,0.3,0.32,0.2,0.3,0.25,0.31
9a7d3a23-d358-4252-abb1-90cea4d396ea,676786,ipos-before-2027,Brex IPO before 2027?,2026-01-23 02:56:54+00:00,outcome_1,0.03,0.171,0.021,0.042,0.039,0.3,True,True,0.3,0.117,0.044,0.115,0.172,0.116
344b825d-ae66-4233-9ffa-5c849e79f4ab,1032304,si-hit-jan-2026,Will Silver (SI) hit (HIGH) $100 by end of January?,2026-01-23 02:56:54+00:00,outcome_1,0.5865,0.8155,0.573,0.803,0.6,0.828,True,True,0.791,0.995,0.776,0.992,0.7835,0.9935
cea8323a-e5ae-47d6-b83f-54c59563028f,1172396,elon-musk-of-tweets-january-16-january-23,"Will Elon Musk post 460-479 tweets from January 16 to January 23, 2026?",2026-01-23 04:02:18+00:00,outcome_1,0.3805,0.1335,0.372,0.122,0.389,0.145,True,True,0.298,1.0,0.277,0.999,0.2875,1.0
0da9f47c-203a-41c9-a0f4-2d58b6262cf0,1065913,will-israel-strike-lebanon-on-928,"Will Israel strike Lebanon on January 23, 2026?",2026-01-23 11:00:09+00:00,outcome_1,0.27,0.78,0.26,0.71,0.28,0.85,True,True,0.65,0.03,0.57,0.025,0.61,0.0275
39de70eb-5344-426a-a476-16528ccb68f1,1114183,will-russia-capture-rodynske-by-september-15,Will Russia capture Rodynske by February 28?,2026-01-23 13:55:35+00:00,outcome_1,0.42,0.545,0.38,0.43,0.46,0.66,True,True,0.57,0.44,0.42,0.41,0.495,0.425
cd1e018c-8675-4de7-95b5-0848603a3529,1065913,will-israel-strike-lebanon-on-928,"Will Israel strike Lebanon on January 23, 2026?",2026-01-23 13:55:35+00:00,outcome_1,0.645,0.38,0.64,0.35,0.65,0.41,True,True,0.25,0.046,0.22,0.029,0.235,0.0375
e517e7d0-75ba-4e70-94eb-429f9108babd,1199139,ethereum-above-on-january-23,"Will the price of Ethereum be above $2,900 on January 23?",2026-01-23 14:46:40+00:00,outcome_1,0.8485,0.615,0.833,0.6,0.864,0.63,True,True,0.947,1.0,0.91,0.999,0.9285,1.0
8525c832-0d25-4c95-aeec-e0fb31912933,1249612,will-russia-capture-lyman-in-2025,"Will Russia capture Lyman by February 28, 2026?",2026-01-23 15:49:26+00:00,outcome_1,0.495,0.18,,0.02,0.99,0.34,True,True,0.33,0.2,0.1,0.14,0.215,0.17
d709a24b-a3c4-47a9-a39e-bdc170fd8424,1199144,bitcoin-price-on-january-23,"Will the price of Bitcoin be between $88,000 and $90,000 on January 23?",2026-01-23 16:46:59+00:00,outcome_1,0.77,0.275,0.76,0.26,0.78,0.29,True,True,0.001,0.001,,,0.0005,0.0
c0821eca-9c8e-4a87-9af6-3c21ca0b9ef5,1199146,bitcoin-price-on-january-23,"Will the price of Bitcoin be between $90,000 and $92,000 on January 23?",2026-01-23 16:46:59+00:00,outcome_1,0.2265,0.73,0.213,0.71,0.24,0.75,True,True,1.0,1.0,0.999,0.999,0.9995,1.0
b73f99fb-87bd-4375-bc0f-9ed48ad6554c,1199177,bitcoin-above-on-january-23,"Will the price of Bitcoin be above $90,000 on January 23?",2026-01-23 16:46:59+00:00,outcome_1,0.275,0.74,0.27,0.72,0.28,0.76,True,True,1.0,1.0,0.999,0.999,0.9995,1.0
feeb3af6-2d0b-4e5d-b0e8-078ed1813506,1199779,next-country-us-strikes-918,Will the US strike Somalia next?,2026-01-23 17:34:59+00:00,outcome_1,0.695,0.93,0.69,0.89,0.7,0.97,True,True,0.989,0.998,0.985,0.996,0.987,0.997
73458268-f102-40d3-9827-b69e19686563,690703,sentient-fdv-above-one-day-after-launch,Sentient FDV above $1B one day after launch?,2026-01-23 20:14:46+00:00,outcome_1,0.0165,0.132,0.013,0.014,0.02,0.25,True,True,0.001,0.001,,,0.0005,0.0
c64da217-8034-40cf-9d4f-e8fc6ba72cc9,690703,sentient-fdv-above-one-day-after-launch,Sentient FDV above $1B one day after launch?,2026-01-23 20:42:26+00:00,outcome_1,0.132,0.0085,0.014,0.007,0.25,0.01,True,True,0.001,0.001,,,0.0005,0.0
c46af325-4dd1-4f83-a26d-04db2d1bb089,1208040,bitcoin-above-on-january-24,"Will the price of Bitcoin be above $90,000 on January 24?",2026-01-23 20:42:26+00:00,outcome_1,0.6,0.235,0.59,0.22,0.61,0.25,True,True,0.22,0.001,0.2,,0.21,0.0
9eb7dae1-d6a0-4828-8744-5b0cd127c92e,1252884,zama-fdv-above-one-day-after-launch,Zama FDV above $500M one day after launch?,2026-01-23 22:34:01+00:00,outcome_1,0.505,0.76,0.03,0.57,0.98,0.95,True,True,0.92,0.77,0.58,0.72,0.75,0.745
5a7eafa1-ba18-4ce7-9adc-6d6794f28e54,1065985,will-israel-strike-gaza-on-358,"Will Israel strike Gaza on January 24, 2026?",2026-01-24 08:43:40+00:00,outcome_1,0.23,0.455,0.22,0.39,0.24,0.52,True,False,0.35,,0.27,,0.31,
c2ac17bf-64be-4f30-b615-2b8aa63dc81f,1065985,will-israel-strike-gaza-on-358,"Will Israel strike Gaza on January 24, 2026?",2026-01-24 13:04:21+00:00,outcome_1,0.29,0.98,0.28,0.97,0.3,0.99,True,False,1.0,,0.999,,0.9995,
787ad796-91d0-4be7-8546-9670d0a4dbcb,1176472,zama-auction-clearing-price,Zama auction clearing price above $0.05?,2026-01-24 19:16:51+00:00,outcome_1,0.64,0.46,0.63,0.37,0.65,0.55,True,False,0.42,,0.41,,0.415,
b7168212-d9e4-4745-8d1d-8aae5460073e,1261306,zama-fdv-above-one-day-after-launch,Zama FDV above $400M one day after launch?,2026-01-25 03:20:21+00:00,outcome_1,0.505,0.815,0.06,0.71,0.95,0.92,True,False,0.92,,0.73,,0.825,
5c7e4707-6bff-43ff-a7a2-7c525c693f3c,1065915,will-israel-strike-lebanon-on-928,"Will Israel strike Lebanon on January 25, 2026?",2026-01-25 06:18:28+00:00,outcome_1,0.345,0.545,0.33,0.49,0.36,0.6,False,False,,,,,,
c4baf4d7-6db2-42c5-9690-26b57726b6b6,1065986,will-israel-strike-gaza-on-358,"Will Israel strike Gaza on January 25, 2026?",2026-01-25 06:51:14+00:00,outcome_1,0.445,0.77,0.44,0.69,0.45,0.85,False,False,,,,,,
